Epoch,Holiday name,Holiday type
1420070400,New Year's Day,National holiday
1420243200,The Prophet's Birthday,Muslim
1420329600,World Braille Day,Worldwide observance
1420502400,Epiphany,Christian
1420588800,Orthodox Christmas Day,Orthodox
1420588800,International Programmers' Day,Worldwide observance
1421107200,Stephen Foster Memorial Day,Observance
1421193600,Orthodox New Year,Orthodox
1421366400,Lee Jackson Day,State holiday
1421539200,World Religion Day,Worldwide observance
1421625600,Martin Luther King Day,National holiday
1421625600,Robert E Lee's Birthday,State holiday
1421625600,Robert E Lee's Birthday,State holiday
1421625600,State Holiday,State holiday
1421625600,State Holiday,State holiday
1421625600,Idaho Human Rights Day,State holiday
1421625600,Civil Rights Day,State holiday
1422144000,World Leprosy Day,Worldwide observance
1422230400,International Customs Day,Worldwide observance
1422316800,International Day of Commemoration in Memory of the Victims of the Holocaust,United Nations observance
1422489600,Kansas Day,Observance
1422748800,National Freedom Day,Observance
1422835200,World Wetlands Day,Worldwide observance
1422835200,Groundhog Day,Observance
1423008000,Tu Bishvat/Tu B'Shevat,Jewish holiday
1423008000,World Cancer Day,United Nations observance
1423008000,Rosa Parks Day,Local observance
1423180800,International Day of Zero Tolerance to Female Genital Mutilation,United Nations observance
1423180800,National Wear Red Day,Observance
1423612800,World Day of the Sick,Worldwide observance
1423699200,Lincoln's Birthday,State holiday
1423699200,Lincoln's Birthday,Local observance
1423785600,World Radio Day,United Nations observance
1423785600,Friday the 13th,Worldwide observance
1423872000,Valentine's Day,Observance
1423958400,Susan B Anthony's Birthday,Local observance
1424044800,Washington's Birthday,National holiday
1424044800,Daisy Gatson Bates Day,State holiday
1424131200,Shrove Tuesday/Mardi Gras,Local observance
1424131200,Shrove Tuesday/Mardi Gras,Observance
1424131200,Shrove Tuesday/Mardi Gras,State holiday
1424217600,Ash Wednesday,Christian
1424304000,Chinese New Year,Observance
1424390400,World Day of Social Justice,United Nations observance
1424476800,International Mother Language Day,United Nations observance
1425081600,Linus Pauling Day,Local observance
1425168000,Zero Discrimination Day,United Nations observance
1425168000,Self-injury Awareness Day,Worldwide observance
1425168000,St. David's Day,Observance
1425254400,Texas Independence Day,State holiday
1425254400,Casimir Pulaski Day,State holiday
1425254400,Read Across America Day,Observance
1425340800,World Wildlife Day,United Nations observance
1425340800,Town Meeting Day Vermont,State holiday
1425513600,Purim,Jewish holiday
1425600000,Employee Appreciation Day,Observance
1425772800,Daylight Saving Time starts,Clock change/Daylight Saving Time
1425772800,International Women's Day,United Nations observance
1426118400,World Kidney Day,Worldwide observance
1426204800,Friday the 13th,Worldwide observance
1426550400,St. Patrick's Day,Observance
1426550400,Evacuation Day,State holiday
1426809600,March equinox,Season
1426809600,International Day of Happiness,United Nations observance
1426896000,International Day for the Elimination of Racial Discrimination,United Nations observance
1426896000,World Poetry Day,United Nations observance
1426896000,International Day of Nowruz,United Nations observance
1426896000,World Down Syndrome Day,United Nations observance
1426896000,International Day of Forests,United Nations observance
1426982400,World Water Day,United Nations observance
1427068800,World Meteorological Day,United Nations observance
1427155200,World Tuberculosis Day,United Nations observance
1427155200,International Day for the Right to the Truth concerning Gross Human Rights Violations and for the Dignity of Victims,United Nations observance
1427241600,International Day of Remembrance of Slavery Victims and the Transatlantic Slave Trade,United Nations observance
1427241600,International Day of Solidarity with Detained and Missing Staff Members,United Nations observance
1427241600,Maryland Day,Local observance
1427328000,Prince Jonah Kuhio Kalanianaole Day,State holiday
1427500800,Earth Hour,Worldwide observance
1427587200,Palm Sunday,Christian
1427673600,Seward's Day,State holiday
1427760000,César Chávez Day,State holiday
1427846400,April Fool's Day,Worldwide observance
1427932800,Maundy Thursday,Christian
1427932800,World Autism Awareness Day,United Nations observance
1427932800,Pascua Florida Day,Local observance
1428019200,Good Friday,State holiday
1428105600,Holy Saturday,Christian
1428105600,Passover (first day),Jewish holiday
1428105600,United Nations' Mine Awareness Day,United Nations observance
1428192000,Easter Sunday,"Observance, Christian"
1428278400,International Day of Sport for Development and Peace,United Nations observance
1428278400,Easter Monday,Christian
1428278400,National Tartan Day,Observance
1428364800,United Nations' World Health Day,United Nations observance
1428364800,Day of Remembrance of the Victims of the Rwanda Genocide,United Nations observance
1428624000,Orthodox Good Friday,Orthodox
1428710400,Last Day of Passover,Jewish holiday
1428710400,Orthodox Holy Saturday,Orthodox
1428796800,Orthodox Easter,Orthodox
1428796800,International Day of Human Space Flight,United Nations observance
1428883200,Orthodox Easter Monday,Orthodox
1428883200,Thomas Jefferson's Birthday,Observance
1429056000,Yom HaShoah,Jewish holiday
1429056000,Tax Day,Observance
1429056000,Father Damien Day,Local observance
1429142400,Emancipation Day,State holiday
1429228800,Global Youth Service Day,Worldwide observance
1429315200,International Day for Monuments and Sites,Worldwide observance
1429488000,Chinese Language Day,United Nations observance
1429488000,Patriot's Day,State holiday
1429574400,San Jacinto Day,State holiday
1429574400,National Library Workers' Day,Observance
1429660800,Earth Day,Worldwide observance
1429660800,Oklahoma Day,Local observance
1429660800,Administrative Professionals Day,Observance
1429747200,Yom Ha'atzmaut,Jewish holiday
1429747200,World Book and Copyright Day,United Nations observance
1429747200,English Language Day,United Nations observance
1429747200,Take our Daughters and Sons to Work Day,Observance
1429833600,Arbor Day,State holiday
1429920000,World Malaria Day,United Nations observance
1430006400,World Intellectual Property Day,United Nations observance
1430006400,State Holiday,Local observance
1430092800,Confederate Memorial Day,State holiday
